room,team_name,user_name
RM1,CSK,RM1CSK
RM1,KKR,RM1KKR
RM1,KXIP,RM1KXIP
RM1,RCB,RM1RCB
RM1,DC,RM1DC
RM1,SRH,RM1SRH
RM1,RR,RM1RR
RM1,MI,RM1MI
RM2,CSK,RM2CSK
RM2,KKR,RM2KKR
RM2,KXIP,RM2KXIP
RM2,RCB,RM2RCB
RM2,DC,RM2DC
RM2,SRH,RM2SRH
RM2,MI,RM2MI
RM2,RR,RM2RR
RM3,CSK,RM3CSK
RM3,KKR,RM3KKR
RM3,KXIP,RM3KXIP
RM3,RCB,RM3RCB
RM3,DC,RM3DC
RM3,SRH,RM3SRH
RM3,MI,RM3MI
RM3,RR,RM3RR
RM4,CSK,RM4CSK
RM4,KKR,RM4KKR
RM4,KXIP,RM4KXIP
RM4,RCB,RM4RCB
RM4,DC,RM4DC
RM4,SRH,RM4SRH
RM4,MI,RM4MI
RM4,RR,RM4RR
RM5,CSK,RM5CSK
RM5,KKR,RM5KKR
RM5,KXIP,RM5KXIP
RM5,RCB,RM5RCB
RM5,DC,RM5DC
RM5,SRH,RM5SRH
RM5,MI,RM5MI
RM5,RR,RM5RR
